PROVIDER_ID,ORGANIZATION_ID,HOSPITAL_ID,HOSPITAL_NAME,NAME,SPECIALITY,GENDER
PRV000048,ORG0048,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,Delbert384 Tromp100,GENERAL PRACTICE,M
PRV000049,ORG0049,220175,METROWEST MEDICAL CENTER,Azzie965 Ziemann98,GENERAL PRACTICE,F
PRV000050,ORG0050,220090,MILFORD REGIONAL MEDICAL CENTER,Kimberlee228 Barrows492,GENERAL PRACTICE,F
PRV000051,ORG0051,224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,Rod343 Kohler843,GENERAL PRACTICE,M
PRV000052,ORG0052,220002,MOUNT AUBURN HOSPITAL,Laverna97 Rippin620,GENERAL PRACTICE,F
PRV000053,ORG0053,220177,NANTUCKET COTTAGE HOSPITAL,Shirley182 Baumbach677,GENERAL PRACTICE,F
PRV000054,ORG0054,220098,NASHOBA VALLEY MEDICAL CENTER,Shayne60 Pacocha935,GENERAL PRACTICE,M
PRV000055,ORG0055,220088,NEW ENGLAND BAPTIST HOSPITAL,Frederick289 Kiehn525,GENERAL PRACTICE,M
PRV000056,ORG0056,220101,NEWTON-WELLESLEY HOSPITAL,Humberto482 Mann644,GENERAL PRACTICE,M
PRV000057,ORG0057,221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,Lino542 Johnson679,GENERAL PRACTICE,M
PRV000058,ORG0058,220035,NORTH SHORE MEDICAL CENTER -,Marcus77 Schamberger479,GENERAL PRACTICE,M
PRV000059,ORG0059,22009F,NORTHAMPTON VA MEDICAL CENTER,Raquel318 Zaragoza109,GENERAL PRACTICE,F
PRV000060,ORG0060,220033,NORTHEAST HOSPITAL CORPORATION,Thersa321 Farrell962,GENERAL PRACTICE,F
PRV000061,ORG0061,220126,NORWOOD HOSPITAL,Cole117 Block661,GENERAL PRACTICE,M
PRV000062,ORG0062,220020,SAINT ANNE'S HOSPITAL,Mohamed943 Jast432,GENERAL PRACTICE,M
PRV000063,ORG0063,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,Tamesha39 Rodriguez71,GENERAL PRACTICE,F
PRV000064,ORG0064,220100,SOUTH SHORE HOSPITAL,Dinah304 Kub800,GENERAL PRACTICE,F
PRV000065,ORG0065,224041,SOUTHCOAST BEHAVIORAL HEALTH,Lesha323 Emard19,GENERAL PRACTICE,F
PRV000066,ORG0066,220074,SOUTHCOAST HOSPITALS GROUP,Garret233 Thiel172,GENERAL PRACTICE,M
PRV000067,ORG0067,220176,ST VINCENT HOSPITAL,Carmen818 Christiansen251,GENERAL PRACTICE,M
PRV000068,ORG0068,220008,STURDY MEMORIAL HOSPITAL,Tambra47 Nolan344,GENERAL PRACTICE,F
PRV000069,ORG0069,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,Trinidad33 King743,GENERAL PRACTICE,M
PRV000070,ORG0070,224001,TAUNTON STATE HOSPITAL,Adán600 Hidalgo930,GENERAL PRACTICE,M
PRV000071,ORG0071,223304,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON,Livia401 Rippin620,GENERAL PRACTICE,F
PRV000072,ORG0072,220116,TUFTS MEDICAL CENTER,Les282 Pollich983,GENERAL PRACTICE,M
PRV000073,ORG0073,220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,Noreen211 Stroman228,GENERAL PRACTICE,F
PRV000074,ORG0074,220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,Diego848 Pouros728,GENERAL PRACTICE,M
PRV000075,ORG0075,220049,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,Carolynn568 Von197,GENERAL PRACTICE,F
PRV000076,ORG0076,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,Sparkle906 Bernhard322,GENERAL PRACTICE,F
PRV000077,ORG0077,22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,Lynn917 Cassin499,GENERAL PRACTICE,F
PRV000078,ORG0078,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,Carrol931 Wilderman619,GENERAL PRACTICE,F
PRV000079,ORG0079,224038,"WALDEN BEHAVIORAL CARE, LLC",Alena861 Rolfson709,GENERAL PRACTICE,F
PRV000080,ORG0080,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,Jovita355 Muller251,GENERAL PRACTICE,F
PRV000081,ORG0081,224023,WESTWOOD PEMBROKE HEALTH SYSTEMS,Aaron697 Kohler843,GENERAL PRACTICE,M
PRV000082,ORG0082,224039,WHITTIER PAVILION,Buck819 Johnson679,GENERAL PRACTICE,M
PRV000083,ORG0083,220105,WINCHESTER HOSPITAL,Terence292 Conn188,GENERAL PRACTICE,M
PRV000084,ORG0084,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,Rachele486 Nikolaus26,GENERAL PRACTICE,F
PRV000085,ORG0085,220062,ADCARE HOSPITAL OF WORCESTER INC,Omar359 Schimmel440,GENERAL PRACTICE,M
PRV000086,ORG0086,220029,ANNA JAQUES HOSPITAL,Denis399 Frami345,GENERAL PRACTICE,M
PRV000087,ORG0087,224013,ARBOUR HOSPITAL,Jesus702 Roob72,GENERAL PRACTICE,M
PRV000088,ORG0088,224018,ARBOUR HUMAN RESOURCE INSTITUTE,Concepción765 Pérez790,GENERAL PRACTICE,F
PRV000089,ORG0089,224021,ARBOUR-FULLER HOSPITAL,Gertha313 Sanford861,GENERAL PRACTICE,F
PRV000090,ORG0090,221303,ATHOL MEMORIAL HOSPITAL,Annmarie79 Barton704,GENERAL PRACTICE,F
PRV000091,ORG0091,220016,BAYSTATE FRANKLIN MEDICAL CENTER,Barton704 Bahringer146,GENERAL PRACTICE,M
PRV000092,ORG0092,220077,BAYSTATE MEDICAL CENTER,Colleen54 Olson653,GENERAL PRACTICE,F
PRV000093,ORG0093,220065,BAYSTATE NOBLE HOSPITAL,Tommy814 Witting912,GENERAL PRACTICE,F
PRV000094,ORG0094,220030,BAYSTATE WING HOSPITAL,Sulema841 Ryan260,GENERAL PRACTICE,F
PRV000095,ORG0095,22001F,BEDFORD VA MEDICAL CENTER,Olinda137 Paucek755,GENERAL PRACTICE,F
PRV000096,ORG0096,220046,BERKSHIRE MEDICAL CENTER,Brian582 Cummerata161,GENERAL PRACTICE,M
PRV000097,ORG0097,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,Hong136 Schneider199,GENERAL PRACTICE,F
PRV000098,ORG0098,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Taylor21 Haley279,GENERAL PRACTICE,M
PRV000099,ORG0099,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Ferdinand55 Moen819,GENERAL PRACTICE,M
PRV000100,ORG0100,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Kayleigh718 Weissnat378,GENERAL PRACTICE,F
PRV000101,ORG0101,223302,BOSTON CHILDREN'S HOSPITAL,Marcelo725 Gleason633,GENERAL PRACTICE,M
PRV000102,ORG0102,220031,BOSTON MEDICAL CENTER,Alejandro916 Quiroz936,GENERAL PRACTICE,M
PRV000103,ORG0103,220036,BOSTON MEDICAL CENTER-BRIGHTON,Chrystal576 Kreiger457,GENERAL PRACTICE,F
PRV000104,ORG0104,224022,BOURNEWOOD HOSPITAL,Carlota980 Solís294,GENERAL PRACTICE,F
PRV000105,ORG0105,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,Ariane992 Pagac496,GENERAL PRACTICE,F
PRV000106,ORG0106,220110,BRIGHAM AND WOMEN'S HOSPITAL,Venice604 Rogahn59,GENERAL PRACTICE,F
PRV000107,ORG0107,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Alonso270 Hand679,GENERAL PRACTICE,M
PRV000108,ORG0108,220011,CAMBRIDGE HEALTH ALLIANCE,Lora418 Barrows492,GENERAL PRACTICE,F
PRV000109,ORG0109,224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,Colin861 Witting912,GENERAL PRACTICE,M
PRV000110,ORG0110,220012,CAPE COD HOSPITAL,Morgan564 Marvin195,GENERAL PRACTICE,M
PRV000111,ORG0111,220017,CARNEY HOSPITAL,Tran115 Jakubowski832,GENERAL PRACTICE,F
PRV000112,ORG0112,220015,"COOLEY DICKINSON HOSPITAL INC,THE",Bennett146 Hartmann983,GENERAL PRACTICE,M
PRV000113,ORG0113,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,Adam631 Towne435,GENERAL PRACTICE,M
PRV000114,ORG0114,224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,Ethyl508 Rau926,GENERAL PRACTICE,F
PRV000115,ORG0115,220084,EMERSON HOSPITAL -,Alejandra902 Thompson596,GENERAL PRACTICE,F
PRV000116,ORG0116,221302,FAIRVIEW HOSPITAL,Rodger755 Brakus656,GENERAL PRACTICE,M
PRV000117,ORG0117,220135,FALMOUTH HOSPITAL,Omer483 Koepp521,GENERAL PRACTICE,M
PRV000118,ORG0118,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,Theodore876 Ankunding277,GENERAL PRACTICE,M
PRV000119,ORG0119,220111,GOOD SAMARITAN MEDICAL CENTER,Sondra191 Zieme486,GENERAL PRACTICE,F
PRV000120,ORG0120,220095,HEYWOOD HOSPITAL -,Jane262 Schmeler639,GENERAL PRACTICE,F
PRV000121,ORG0121,220080,HOLY FAMILY HOSPITAL,Lincoln623 Trantow673,GENERAL PRACTICE,M
PRV000122,ORG0122,220024,HOLYOKE MEDICAL CENTER,Damian46 Hansen121,GENERAL PRACTICE,M
PRV000123,ORG0123,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,Natalya468 Haley279,GENERAL PRACTICE,F
PRV000124,ORG0124,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Rafael239 de Jesús414,GENERAL PRACTICE,M
PRV000125,ORG0125,220063,LOWELL GENERAL HOSPITAL,Tandy422 Sporer811,GENERAL PRACTICE,F
PRV000126,ORG0126,221300,MARTHA'S VINEYARD HOSPITAL INC,Eleonore965 Robel940,GENERAL PRACTICE,F
PRV000127,ORG0127,220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,Kasey569 Rau926,GENERAL PRACTICE,M
PRV000128,ORG0128,220071,MASSACHUSETTS GENERAL HOSPITAL,Glinda951 Smitham825,GENERAL PRACTICE,F
PRV000129,ORG0129,224007,MCLEAN HOSPITAL CORPORATION,Erin498 Hand679,GENERAL PRACTICE,M
PRV000130,ORG0130,220070,MELROSEWAKEFIELD HEALTHCARE,Iva908 O'Keefe54,GENERAL PRACTICE,F
PRV000131,ORG0131,220066,MERCY MEDICAL CTR,Lezlie553 Koss676,GENERAL PRACTICE,F
PRV000132,ORG0132,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,Mora209 Blanda868,GENERAL PRACTICE,F
PRV000133,ORG0133,220175,METROWEST MEDICAL CENTER,Vera718 Cummerata161,GENERAL PRACTICE,F
PRV000134,ORG0134,220090,MILFORD REGIONAL MEDICAL CENTER,Gerry91 Block661,GENERAL PRACTICE,F
PRV000135,ORG0135,224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,Wilson960 Turner526,GENERAL PRACTICE,M
PRV000136,ORG0136,220002,MOUNT AUBURN HOSPITAL,Elmo857 Hodkiewicz467,GENERAL PRACTICE,M
PRV000137,ORG0137,220177,NANTUCKET COTTAGE HOSPITAL,Michel472 Zulauf375,GENERAL PRACTICE,M
PRV000138,ORG0138,220098,NASHOBA VALLEY MEDICAL CENTER,Janet238 Crooks415,GENERAL PRACTICE,F
PRV000139,ORG0139,220088,NEW ENGLAND BAPTIST HOSPITAL,Carlena776 Feil794,GENERAL PRACTICE,F
PRV000140,ORG0140,220101,NEWTON-WELLESLEY HOSPITAL,Warren653 Flatley871,GENERAL PRACTICE,M
PRV000141,ORG0141,221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,Damon455 Orn563,GENERAL PRACTICE,M
PRV000142,ORG0142,220035,NORTH SHORE MEDICAL CENTER -,Sharron285 Batz141,GENERAL PRACTICE,F
PRV000143,ORG0143,22009F,NORTHAMPTON VA MEDICAL CENTER,Alica364 Hartmann983,GENERAL PRACTICE,F
PRV000144,ORG0144,220033,NORTHEAST HOSPITAL CORPORATION,Pandora807 Sauer652,GENERAL PRACTICE,F
PRV000145,ORG0145,220126,NORWOOD HOSPITAL,Melissa844 Yundt842,GENERAL PRACTICE,F
PRV000146,ORG0146,220020,SAINT ANNE'S HOSPITAL,Lucien408 Howe413,GENERAL PRACTICE,M
PRV000147,ORG0147,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,Shayla126 White193,GENERAL PRACTICE,F
PRV000148,ORG0148,220100,SOUTH SHORE HOSPITAL,Amalia471 Pizarro791,GENERAL PRACTICE,F
PRV000149,ORG0149,224041,SOUTHCOAST BEHAVIORAL HEALTH,Jesusita936 O'Keefe54,GENERAL PRACTICE,F
PRV000150,ORG0150,220074,SOUTHCOAST HOSPITALS GROUP,Javier97 Tejeda887,GENERAL PRACTICE,M
PRV000151,ORG0151,220176,ST VINCENT HOSPITAL,Guadalupe206 Hodkiewicz467,GENERAL PRACTICE,M
PRV000152,ORG0152,220008,STURDY MEMORIAL HOSPITAL,Johna806 Klein929,GENERAL PRACTICE,F
PRV000153,ORG0153,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,Candy565 Wunsch504,GENERAL PRACTICE,F
PRV000154,ORG0154,224001,TAUNTON STATE HOSPITAL,Eleonor544 Doyle959,GENERAL PRACTICE,F
PRV000155,ORG0155,223304,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON,Mayte822 Garica503,GENERAL PRACTICE,F
PRV000156,ORG0156,220116,TUFTS MEDICAL CENTER,Cari853 Kohler843,GENERAL PRACTICE,F
PRV000157,ORG0157,220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,Lesley194 Crooks415,GENERAL PRACTICE,F
PRV000158,ORG0158,220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,Logan497 Fisher429,GENERAL PRACTICE,M
PRV000159,ORG0159,220049,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,Lauretta754 Dare640,GENERAL PRACTICE,F
PRV000160,ORG0160,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,Margery365 Rippin620,GENERAL PRACTICE,F
PRV000161,ORG0161,22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,Erwin847 Baumbach677,GENERAL PRACTICE,M
PRV000162,ORG0162,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,Felipe97 Lebsack687,GENERAL PRACTICE,M
PRV000163,ORG0163,224038,"WALDEN BEHAVIORAL CARE, LLC",Antoine384 Maggio310,GENERAL PRACTICE,M
PRV000164,ORG0164,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,Teresa94 Mireles421,GENERAL PRACTICE,F
PRV000165,ORG0165,224023,WESTWOOD PEMBROKE HEALTH SYSTEMS,Gil594 Ondricka197,GENERAL PRACTICE,M
PRV000166,ORG0166,224039,WHITTIER PAVILION,Bennie663 Abbott774,GENERAL PRACTICE,M
PRV000167,ORG0167,220105,WINCHESTER HOSPITAL,Guillermo498 Dietrich576,GENERAL PRACTICE,M
PRV000168,ORG0168,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,Cletus494 Paucek755,GENERAL PRACTICE,M
PRV000169,ORG0169,220062,ADCARE HOSPITAL OF WORCESTER INC,Irene779 Águilar229,GENERAL PRACTICE,F
PRV000170,ORG0170,220029,ANNA JAQUES HOSPITAL,Eleni953 Franecki195,GENERAL PRACTICE,F
PRV000171,ORG0171,224013,ARBOUR HOSPITAL,Philip822 Beatty507,GENERAL PRACTICE,M
PRV000172,ORG0172,224018,ARBOUR HUMAN RESOURCE INSTITUTE,Glenn0 Keeling57,GENERAL PRACTICE,F
PRV000173,ORG0173,224021,ARBOUR-FULLER HOSPITAL,Ramon749 Johnston597,GENERAL PRACTICE,M
PRV000174,ORG0174,221303,ATHOL MEMORIAL HOSPITAL,Buford910 Halvorson124,GENERAL PRACTICE,M
PRV000175,ORG0175,220016,BAYSTATE FRANKLIN MEDICAL CENTER,Maryanne663 Abernathy524,GENERAL PRACTICE,F
PRV000176,ORG0176,220077,BAYSTATE MEDICAL CENTER,Catheryn300 Glover433,GENERAL PRACTICE,F
PRV000177,ORG0177,220065,BAYSTATE NOBLE HOSPITAL,Anabel269 Hilll811,GENERAL PRACTICE,F
PRV000178,ORG0178,220030,BAYSTATE WING HOSPITAL,Heath320 Leuschke194,GENERAL PRACTICE,M
PRV000179,ORG0179,22001F,BEDFORD VA MEDICAL CENTER,Darwin703 O'Hara248,GENERAL PRACTICE,M
PRV000180,ORG0180,220046,BERKSHIRE MEDICAL CENTER,Izetta651 Farrell962,GENERAL PRACTICE,F
PRV000181,ORG0181,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,Latrina689 White193,GENERAL PRACTICE,F
PRV000182,ORG0182,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Hisako109 Moore224,GENERAL PRACTICE,F
PRV000183,ORG0183,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Major265 Auer97,GENERAL PRACTICE,M
PRV000184,ORG0184,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Carla633 Santiago500,GENERAL PRACTICE,F
PRV000185,ORG0185,223302,BOSTON CHILDREN'S HOSPITAL,Mateo562 Arredondo74,GENERAL PRACTICE,M
PRV000186,ORG0186,220031,BOSTON MEDICAL CENTER,Andrés117 Ruiz676,GENERAL PRACTICE,M
PRV000187,ORG0187,220036,BOSTON MEDICAL CENTER-BRIGHTON,Alex454 Satterfield305,GENERAL PRACTICE,M
PRV000188,ORG0188,224022,BOURNEWOOD HOSPITAL,Georgianne697 Howe413,GENERAL PRACTICE,F
PRV000189,ORG0189,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,Zackary401 Mohr916,GENERAL PRACTICE,M
PRV000190,ORG0190,220110,BRIGHAM AND WOMEN'S HOSPITAL,Saundra460 Kuphal363,GENERAL PRACTICE,F
PRV000191,ORG0191,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Tora746 Kertzmann286,GENERAL PRACTICE,F
PRV000192,ORG0192,220011,CAMBRIDGE HEALTH ALLIANCE,Ileen763 Casper496,GENERAL PRACTICE,F
PRV000193,ORG0193,224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,Olympia319 Bradtke547,GENERAL PRACTICE,F
PRV000194,ORG0194,220012,CAPE COD HOSPITAL,Ilene33 Greenholt190,GENERAL PRACTICE,F
PRV000195,ORG0195,220017,CARNEY HOSPITAL,Carletta836 West559,GENERAL PRACTICE,F
PRV000196,ORG0196,220015,"COOLEY DICKINSON HOSPITAL INC,THE",Dale454 Wilderman619,GENERAL PRACTICE,M
PRV000197,ORG0197,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,Lauri399 Keebler762,GENERAL PRACTICE,F
PRV000198,ORG0198,224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,Randy380 Kilback373,GENERAL PRACTICE,F
PRV000199,ORG0199,220084,EMERSON HOSPITAL -,Zane918 Ferry570,GENERAL PRACTICE,M
PRV000200,ORG0200,221302,FAIRVIEW HOSPITAL,Hiram237 Moen819,GENERAL PRACTICE,M
PRV000201,ORG0201,220135,FALMOUTH HOSPITAL,Elma843 McCullough561,GENERAL PRACTICE,F
PRV000202,ORG0202,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,Jermaine675 Collins926,GENERAL PRACTICE,M
PRV000203,ORG0203,220111,GOOD SAMARITAN MEDICAL CENTER,Leonardo412 Schiller186,GENERAL PRACTICE,M
PRV000204,ORG0204,220095,HEYWOOD HOSPITAL -,Elbert916 Carter549,GENERAL PRACTICE,M
PRV000205,ORG0205,220080,HOLY FAMILY HOSPITAL,Emory494 Schuster709,GENERAL PRACTICE,M
PRV000206,ORG0206,220024,HOLYOKE MEDICAL CENTER,Jackelyn13 Pacocha935,GENERAL PRACTICE,F
PRV000207,ORG0207,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,Fritz267 Farrell962,GENERAL PRACTICE,M
PRV000208,ORG0208,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Venus149 Blick895,GENERAL PRACTICE,F
PRV000209,ORG0209,220063,LOWELL GENERAL HOSPITAL,Shenika151 Little434,GENERAL PRACTICE,F
PRV000210,ORG0210,221300,MARTHA'S VINEYARD HOSPITAL INC,Leah288 Sauer652,GENERAL PRACTICE,F
PRV000211,ORG0211,220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,Kylee806 Romaguera67,GENERAL PRACTICE,F
PRV000212,ORG0212,220071,MASSACHUSETTS GENERAL HOSPITAL,Julian715 Kiehn525,GENERAL PRACTICE,M
PRV000213,ORG0213,224007,MCLEAN HOSPITAL CORPORATION,Ana Luisa894 Benavídez820,GENERAL PRACTICE,F
PRV000214,ORG0214,220070,MELROSEWAKEFIELD HEALTHCARE,Marth98 Mayer370,GENERAL PRACTICE,F
PRV000215,ORG0215,220066,MERCY MEDICAL CTR,Jerónimo599 Vargas494,GENERAL PRACTICE,M
PRV000216,ORG0216,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,Tomeka87 Rutherford999,GENERAL PRACTICE,F
PRV000217,ORG0217,220175,METROWEST MEDICAL CENTER,Alfred550 Donnelly343,GENERAL PRACTICE,M
