employee_id,candidate_id,request_id,hospital_id,hospital_name,employee_name,email,phone,role,department,employment_type,license_state,license_status,hire_date,assignment_start_date,assignment_end_date,hourly_pay_rate,employment_status
EMP000014,CAN000048,REQ000273,220063,LOWELL GENERAL HOSPITAL,James Payne Jr.,kkramer@example.net,001-832-471-0405x41152,Physician,Medical Services,Travel Contract,MA,Expired,2026-07-31,2025-10-22,2026-01-14,141.13,Active
EMP000015,CAN000049,REQ000299,220175,METROWEST MEDICAL CENTER,Stephanie Davis,bbush@example.net,(896)620-1533,Physician,Medical Services,Permanent Placement,MA,Active,2026-07-31,2026-08-13,2026-10-08,147.75,Active
EMP000016,CAN000050,REQ001690,220033,NORTHEAST HOSPITAL CORPORATION,Brendan Long,xhernandez@example.org,(614)897-3103x24171,Allied Health Professional,Allied Health,Permanent Placement,MA,Active,2026-07-31,2025-09-23,2025-11-18,50.84,Active
EMP000017,CAN000065,REQ000699,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,Jeffrey Jordan,ysanford@example.org,2835505830,Radiologic Technologist,Radiology,Per Diem,MA,Pending,2026-07-31,2026-03-26,2026-06-25,42.73,Active
EMP000018,CAN000066,REQ001545,221303,ATHOL MEMORIAL HOSPITAL,Haley Anderson,tgordon@example.org,804-447-8985,Physician,Medical Services,Travel Contract,MA,Active,2026-07-31,2026-03-16,2026-09-14,215.26,Active
EMP000019,CAN000067,REQ000143,224039,WHITTIER PAVILION,Katherine Christensen MD,osmith@example.net,(830)698-2150,Emergency Room Nurse,Emergency Department,Local Contract,MA,Active,2026-07-31,2026-03-13,2026-05-08,56.66,Assignment Completed
EMP000020,CAN000072,REQ000003,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Catherine Morales,ynelson@example.net,462.812.0216x9797,ICU Nurse,Intensive Care Unit,Local Contract,MA,Active,2026-07-31,2026-05-27,2026-08-19,79.2,Active
EMP000021,CAN000076,REQ001581,220017,CARNEY HOSPITAL,Anthony Walker,xrivera@example.net,+1-775-371-1305x548,Emergency Room Nurse,Emergency Department,Travel Contract,MA,Active,2026-07-31,2025-12-03,2026-03-25,71.81,Active
EMP000022,CAN000080,REQ000028,22009F,NORTHAMPTON VA MEDICAL CENTER,Miguel Parks,tinasantos@example.org,385.215.8799x68460,Allied Health Professional,Allied Health,Permanent Placement,MA,Active,2026-07-31,2026-02-20,2026-05-15,40.2,Active
EMP000023,CAN000082,REQ000077,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Rebecca Horton,housepaul@example.net,580-604-3973x59893,Travel Nurse,Travel Nursing,Local Contract,MA,Active,2026-07-31,2026-04-07,2026-07-28,66.53,Active
EMP000024,CAN000083,REQ000063,220008,STURDY MEMORIAL HOSPITAL,Michael Lopez,jillwilson@example.org,(748)242-2940x57202,Radiologic Technologist,Radiology,Local Contract,MA,Active,2026-07-31,2025-08-24,2025-11-23,53.53,Active
EMP000025,CAN000087,REQ001298,220101,NEWTON-WELLESLEY HOSPITAL,Sharon Coleman,harrismaria@example.net,001-361-520-7501x10248,Registered Nurse,General Nursing,Travel Contract,MA,Active,2026-07-31,2026-01-01,2026-02-26,60.3,Active
EMP000026,CAN000089,REQ000636,220036,BOSTON MEDICAL CENTER-BRIGHTON,Matthew Wells,derekmyers@example.net,824-350-8821x0099,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2025-11-19,2026-02-11,64.64,Active
EMP000027,CAN000091,REQ000177,220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,Donna Jones,gonzalezbeverly@example.com,(623)414-9135x775,Travel Nurse,Travel Nursing,Travel Contract,MA,Active,2026-07-31,2025-11-30,2026-03-01,55.79,Active
EMP000028,CAN000092,REQ001146,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Rhonda Benjamin,adamsanchez@example.org,001-364-452-5777x547,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2026-04-13,2026-06-08,59.51,Active
EMP000029,CAN000097,REQ001319,220090,MILFORD REGIONAL MEDICAL CENTER,Jack Love,guerrerorobert@example.com,001-417-477-3926x0302,Respiratory Therapist,Respiratory Care,Local Contract,MA,Active,2026-07-31,2026-03-21,2026-05-16,60.77,Active
EMP000030,CAN000103,REQ001519,220011,CAMBRIDGE HEALTH ALLIANCE,Jennifer Bowers,jwhite@example.net,844.795.6213x7213,Registered Nurse,General Nursing,Per Diem,MA,Active,2026-07-31,2025-11-16,2026-02-15,64.8,Active
EMP000031,CAN000106,REQ001552,221302,FAIRVIEW HOSPITAL,Aaron Moore,kimberly56@example.com,001-738-701-1848,Emergency Room Nurse,Emergency Department,Travel Contract,MA,Active,2026-07-31,2026-08-09,2026-10-04,74.3,Active
EMP000032,CAN000109,REQ000326,220111,GOOD SAMARITAN MEDICAL CENTER,James Goodman,charles27@example.com,(539)542-3733x343,Respiratory Therapist,Respiratory Care,Local Contract,MA,Active,2026-07-31,2026-04-28,2026-10-27,60.77,Active
EMP000033,CAN000111,REQ000384,224021,ARBOUR-FULLER HOSPITAL,Kenneth Brown,imendoza@example.org,356.727.1875x00369,ICU Nurse,Intensive Care Unit,Travel Contract,MA,Active,2026-07-31,2025-09-17,2025-11-12,71.84,Active
EMP000034,CAN000113,REQ000312,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,Regina Peters,zgonzalez@example.net,(770)926-7288,Radiologic Technologist,Radiology,Permanent Placement,MA,Expired,2026-07-31,2026-06-12,2026-09-11,55.58,Active
EMP000035,CAN000114,REQ001125,224038,"WALDEN BEHAVIORAL CARE, LLC",Scott Williams,vaughnbrian@example.com,317.754.5588x4506,Respiratory Therapist,Respiratory Care,Permanent Placement,MA,Active,2026-07-31,2026-08-03,2026-09-28,62.14,Active
EMP000036,CAN000118,REQ001788,220030,BAYSTATE WING HOSPITAL,Howard Herman,imcdonald@example.com,+1-872-682-9979,ICU Nurse,Intensive Care Unit,Per Diem,MA,Active,2026-07-31,2025-10-30,2025-12-25,72.32,Assignment Completed
EMP000037,CAN000122,REQ000564,221304,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,Monica Hall,alexisrobinson@example.com,975-470-5120x4618,Emergency Room Nurse,Emergency Department,Travel Contract,MA,Active,2026-07-31,2025-12-29,2026-06-29,52.16,Active
EMP000038,CAN000124,REQ000028,22009F,NORTHAMPTON VA MEDICAL CENTER,Dawn Little,michaelwilliams@example.net,313.865.0249,Allied Health Professional,Allied Health,Permanent Placement,MA,Active,2026-07-31,2026-02-20,2026-05-15,62.52,Active
EMP000039,CAN000125,REQ001456,220095,HEYWOOD HOSPITAL -,Andrew Logan,jbarker@example.com,001-413-927-1950x05281,Respiratory Therapist,Respiratory Care,Per Diem,MA,Active,2026-07-31,2026-01-27,2026-07-28,52.23,Active
EMP000040,CAN000127,REQ000568,220135,FALMOUTH HOSPITAL,Nicholas Hill,caseymoore@example.com,585-770-8620x959,Physical Therapist,Rehabilitation,Local Contract,MA,Pending,2026-07-31,2026-03-25,2026-09-23,46.9,Active
EMP000041,CAN000134,REQ000448,224018,ARBOUR HUMAN RESOURCE INSTITUTE,Christopher Baker,jesseshepherd@example.org,001-369-631-5727,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2026-08-04,2026-10-27,49.97,Active
EMP000042,CAN000138,REQ001858,224021,ARBOUR-FULLER HOSPITAL,Gregory Flores,carrillogary@example.com,+1-279-527-0335x211,Physical Therapist,Rehabilitation,Local Contract,MA,Active,2026-07-31,2025-09-23,2026-03-24,63.74,Active
EMP000043,CAN000142,REQ001401,224013,ARBOUR HOSPITAL,Christopher Reed,michael43@example.net,304-860-8432x562,ICU Nurse,Intensive Care Unit,Local Contract,MA,Active,2026-07-31,2025-09-23,2026-01-13,65.54,Active
EMP000044,CAN000144,REQ001780,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,Krystal Moore,grantstacy@example.org,(652)405-6647,ICU Nurse,Intensive Care Unit,Permanent Placement,MA,Active,2026-07-31,2026-03-18,2026-06-10,60.68,Active
EMP000045,CAN000145,REQ000890,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,Cody Farmer,catherine93@example.net,930.751.7289,Respiratory Therapist,Respiratory Care,Local Contract,MA,Pending,2026-07-31,2025-10-20,2026-01-12,40.21,Active
EMP000046,CAN000148,REQ000476,220070,MELROSEWAKEFIELD HEALTHCARE,Stephen Ayala,steven64@example.net,4828771812,Allied Health Professional,Allied Health,Per Diem,MA,Active,2026-07-31,2026-06-05,2026-08-28,50.97,Active
EMP000047,CAN000154,REQ000689,220029,ANNA JAQUES HOSPITAL,Ashley Blair,webbhaley@example.net,969-954-8995x2997,Laboratory Technician,Laboratory,Local Contract,MA,Active,2026-07-31,2026-04-16,2026-10-15,29.19,Assignment Completed
EMP000048,CAN000157,REQ001029,221302,FAIRVIEW HOSPITAL,Rebecca Brewer,dmoore@example.net,776-308-4958x80395,ICU Nurse,Intensive Care Unit,Per Diem,MA,Active,2026-07-31,2025-12-05,2026-01-02,51.06,Active
EMP000049,CAN000159,REQ000220,220111,GOOD SAMARITAN MEDICAL CENTER,Eric Rodriguez,stricklandrobin@example.com,407.582.3578x45218,Radiologic Technologist,Radiology,Permanent Placement,MA,Active,2026-07-31,2025-10-25,2025-12-20,56.01,Active
EMP000050,CAN000162,REQ000893,221302,FAIRVIEW HOSPITAL,Michael Campbell,georgecollins@example.com,+1-270-320-7016,ICU Nurse,Intensive Care Unit,Permanent Placement,MA,Active,2026-07-31,2025-12-31,2026-04-22,53.13,Active
EMP000051,CAN000164,REQ001400,220063,LOWELL GENERAL HOSPITAL,Julie Hall,douglashuang@example.com,(962)955-7701x715,ICU Nurse,Intensive Care Unit,Permanent Placement,MA,Pending,2026-07-31,2026-01-24,2026-04-18,64.74,Active
EMP000052,CAN000167,REQ001216,221302,FAIRVIEW HOSPITAL,Jared George,pmurphy@example.net,6138290227,Physical Therapist,Rehabilitation,Travel Contract,MA,Active,2026-07-31,2026-04-07,2026-06-02,43.24,On Leave
EMP000053,CAN000169,REQ000925,220012,CAPE COD HOSPITAL,Heather Callahan,youngjacqueline@example.com,+1-856-766-6832x7238,Laboratory Technician,Laboratory,Per Diem,MA,Active,2026-07-31,2025-10-27,2025-12-22,43.06,Active
EMP000054,CAN000175,REQ000610,220088,NEW ENGLAND BAPTIST HOSPITAL,Joseph Johnson,coffeycaitlin@example.org,466.937.2395x0410,Physician,Medical Services,Permanent Placement,MA,Active,2026-07-31,2025-09-08,2025-12-01,211.04,Active
EMP000055,CAN000183,REQ000166,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Cassandra Williams,tguerrero@example.net,(915)871-7320x3093,Radiologic Technologist,Radiology,Per Diem,MA,Active,2026-07-31,2026-05-28,2026-09-17,59.09,Active
EMP000056,CAN000188,REQ001661,224001,TAUNTON STATE HOSPITAL,Linda Campbell,nschwartz@example.org,+1-348-676-3290x9279,Emergency Room Nurse,Emergency Department,Local Contract,MA,Active,2026-07-31,2026-07-29,2026-10-28,60.35,Active
EMP000057,CAN000190,REQ001926,221300,MARTHA'S VINEYARD HOSPITAL INC,David Jensen,vwilliams@example.org,+1-922-707-8113,Radiologic Technologist,Radiology,Travel Contract,MA,Active,2026-07-31,2026-06-15,2026-09-07,58.43,Active
EMP000058,CAN000193,REQ001013,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,Rachel Little,belindatran@example.org,268-873-9774,Radiologic Technologist,Radiology,Local Contract,MA,Active,2026-07-31,2025-12-11,2026-03-05,51.89,Assignment Completed
EMP000059,CAN000195,REQ000768,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,Justin Smith,idodson@example.com,431-807-4279x9077,ICU Nurse,Intensive Care Unit,Per Diem,MA,Active,2026-07-31,2026-05-11,2026-11-09,81.46,Active
EMP000060,CAN000196,REQ001510,224021,ARBOUR-FULLER HOSPITAL,Jacqueline Marshall,daltonchad@example.net,780-246-4989x31950,Physical Therapist,Rehabilitation,Local Contract,MA,Pending,2026-07-31,2025-09-21,2026-01-11,57.75,Active
EMP000061,CAN000198,REQ000444,220111,GOOD SAMARITAN MEDICAL CENTER,Destiny Brown,shaun88@example.org,488.647.9513x7116,Physical Therapist,Rehabilitation,Per Diem,MA,Active,2026-07-31,2026-07-29,2026-10-21,71.87,Active
EMP000062,CAN000200,REQ001950,220065,BAYSTATE NOBLE HOSPITAL,Kelly Rogers,diana57@example.net,+1-688-277-4924x24375,Emergency Room Nurse,Emergency Department,Local Contract,MA,Expired,2026-07-31,2026-06-30,2026-10-20,55.28,Active
EMP000063,CAN000201,REQ000786,220071,MASSACHUSETTS GENERAL HOSPITAL,Jesus Jackson,jennifermitchell@example.org,001-422-531-0592x745,Physician,Medical Services,Local Contract,MA,Active,2026-07-31,2026-02-12,2026-06-04,148.07,Active
EMP000064,CAN000206,REQ000647,220080,HOLY FAMILY HOSPITAL,Briana Turner,carl96@example.org,5644628792,Laboratory Technician,Laboratory,Permanent Placement,MA,Active,2026-07-31,2025-09-02,2025-11-25,31.02,Active
EMP000065,CAN000207,REQ001119,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,John Carson,mary47@example.net,001-973-500-2447x1462,Travel Nurse,Travel Nursing,Local Contract,MA,Expired,2026-07-31,2026-02-04,2026-05-06,88.84,Active
EMP000066,CAN000215,REQ001764,220065,BAYSTATE NOBLE HOSPITAL,Vicki Coleman,rickjuarez@example.com,271-382-7548,Laboratory Technician,Laboratory,Travel Contract,MA,Active,2026-07-31,2025-10-27,2026-02-16,35.94,Active
EMP000067,CAN000221,REQ000249,220046,BERKSHIRE MEDICAL CENTER,Mary Jennings,kalvarez@example.net,7642796954,Respiratory Therapist,Respiratory Care,Permanent Placement,MA,Active,2026-07-31,2026-05-15,2026-11-13,64.66,Active
EMP000068,CAN000225,REQ001874,220016,BAYSTATE FRANKLIN MEDICAL CENTER,Kenneth Ballard,robbinsbelinda@example.net,741-598-7635x14846,Physician,Medical Services,Local Contract,MA,Active,2026-07-31,2026-08-17,2026-10-12,187.41,Active
EMP000069,CAN000227,REQ001041,224007,MCLEAN HOSPITAL CORPORATION,David Francis,megan65@example.org,+1-536-244-2493x6312,Physician,Medical Services,Permanent Placement,MA,Active,2026-07-31,2025-10-03,2026-01-02,172.06,Active
EMP000070,CAN000229,REQ001448,220049,UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,Angela Guzman,lesterrichard@example.com,+1-316-523-1981x89847,Respiratory Therapist,Respiratory Care,Local Contract,MA,Active,2026-07-31,2025-11-10,2025-12-08,42.45,Active
EMP000071,CAN000230,REQ001333,220015,"COOLEY DICKINSON HOSPITAL INC,THE",Robert Murphy,vshaffer@example.org,(732)312-3476x49078,ICU Nurse,Intensive Care Unit,Travel Contract,MA,Active,2026-07-31,2026-04-10,2026-06-05,75.62,Assignment Completed
EMP000072,CAN000231,REQ001380,220084,EMERSON HOSPITAL -,Karen Sanchez,natasha25@example.com,001-754-309-0034x864,Laboratory Technician,Laboratory,Travel Contract,MA,Active,2026-07-31,2025-08-27,2025-11-19,47.94,Active
EMP000073,CAN000234,REQ000502,224039,WHITTIER PAVILION,James Fuller,barbara12@example.org,329.865.7724x29543,Physician,Medical Services,Travel Contract,MA,Active,2026-07-31,2025-11-05,2025-12-03,170.26,Active
EMP000074,CAN000238,REQ001718,224001,TAUNTON STATE HOSPITAL,Nancy Scott,hawkinsbrett@example.org,459.290.0489x6465,Allied Health Professional,Allied Health,Per Diem,MA,Active,2026-07-31,2026-03-13,2026-05-08,67.93,Active
EMP000075,CAN000240,REQ000786,220071,MASSACHUSETTS GENERAL HOSPITAL,Pam Baker,ryan25@example.net,428.970.3203x2074,Physician,Medical Services,Local Contract,MA,Active,2026-07-31,2026-02-12,2026-06-04,190.23,Active
EMP000076,CAN000243,REQ001710,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,Mary Gibson,brooke05@example.org,+1-897-359-2304x5018,ICU Nurse,Intensive Care Unit,Travel Contract,MA,Active,2026-07-31,2026-08-23,2026-11-22,66.68,Active
EMP000077,CAN000244,REQ001605,220177,NANTUCKET COTTAGE HOSPITAL,David Wise,ndavis@example.org,(764)521-4764x9251,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2025-09-21,2026-01-11,60.82,Active
EMP000078,CAN000251,REQ001231,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Jenna Cook,mccoyjennifer@example.com,599.284.0767x8997,Registered Nurse,General Nursing,Local Contract,MA,Active,2026-07-31,2026-07-02,2026-10-22,38.25,Active
EMP000079,CAN000253,REQ001128,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,Michelle Mcdonald,jennifer66@example.net,+1-957-329-3417x2232,Allied Health Professional,Allied Health,Permanent Placement,MA,Active,2026-07-31,2026-08-24,2027-02-22,67.06,Active
EMP000080,CAN000258,REQ001112,220070,MELROSEWAKEFIELD HEALTHCARE,Adam Drake,millerleroy@example.org,(706)202-9084x66845,Radiologic Technologist,Radiology,Per Diem,MA,Active,2026-07-31,2026-04-02,2026-10-01,35.63,Assignment Completed
EMP000081,CAN000260,REQ001060,224044,WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL LLC,Juan Boyd,andrewzamora@example.net,001-643-746-8105,Radiologic Technologist,Radiology,Per Diem,MA,Pending,2026-07-31,2025-09-20,2025-11-15,58.12,Active
EMP000082,CAN000262,REQ000094,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,Ashley Black,mackenzieward@example.org,(566)911-0627,Allied Health Professional,Allied Health,Local Contract,MA,Active,2026-07-31,2026-06-11,2026-07-09,42.13,Active
EMP000083,CAN000263,REQ001703,220016,BAYSTATE FRANKLIN MEDICAL CENTER,Joseph Chapman,lwiggins@example.com,+1-367-576-2282x7728,Laboratory Technician,Laboratory,Per Diem,MA,Active,2026-07-31,2025-11-23,2025-12-21,37.71,Active
EMP000084,CAN000265,REQ000771,224021,ARBOUR-FULLER HOSPITAL,John Moody,kristenfisher@example.com,632-970-1851x0679,Physician,Medical Services,Permanent Placement,MA,Expired,2026-07-31,2026-05-25,2026-07-20,168.71,Active
EMP000085,CAN000272,REQ001973,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,Kathryn Patton,nathanielgalloway@example.org,+1-468-270-0794,Physician,Medical Services,Local Contract,MA,Active,2026-07-31,2026-07-31,2027-01-29,186.6,Active
EMP000086,CAN000275,REQ001103,224022,BOURNEWOOD HOSPITAL,Megan Gutierrez,ifarmer@example.org,+1-318-907-1569x5620,Respiratory Therapist,Respiratory Care,Permanent Placement,MA,Active,2026-07-31,2026-07-11,2026-08-08,53.63,Assignment Completed
EMP000087,CAN000276,REQ001605,220177,NANTUCKET COTTAGE HOSPITAL,Jill Walker,changerin@example.net,(531)294-3375x047,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2025-09-21,2026-01-11,47.9,Active
EMP000088,CAN000277,REQ001928,220046,BERKSHIRE MEDICAL CENTER,Miss Ashley Ramirez,mjackson@example.net,001-699-592-1921x2493,Emergency Room Nurse,Emergency Department,Permanent Placement,MA,Active,2026-07-31,2026-01-16,2026-03-13,72.33,Active
EMP000089,CAN000283,REQ001076,220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,Kurt Jones,rebeccamartinez@example.net,656-879-7232x002,Registered Nurse,General Nursing,Travel Contract,MA,Active,2026-07-31,2026-01-06,2026-02-03,45.05,Active
EMP000090,CAN000290,REQ001196,22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,Cassidy Marquez,fbaldwin@example.com,696-890-3337x363,ICU Nurse,Intensive Care Unit,Local Contract,MA,Active,2026-07-31,2026-02-08,2026-05-31,68.9,Active
EMP000091,CAN000292,REQ000139,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,Alexander Alexander,deanna51@example.com,588.714.3111x50835,Emergency Room Nurse,Emergency Department,Travel Contract,MA,Active,2026-07-31,2026-08-18,2026-11-10,48.56,Active
EMP000092,CAN000294,REQ001277,220084,EMERSON HOSPITAL -,Paul Wells,dsharp@example.com,253-766-3778,Emergency Room Nurse,Emergency Department,Permanent Placement,MA,Active,2026-07-31,2026-03-19,2026-04-16,49.27,Active
EMP000093,CAN000296,REQ001131,220001,UMASS MEMORIAL HEALTHALLIANCE HOSPITALS,James Ferguson,thomasmurphy@example.com,+1-341-821-8209x7023,Emergency Room Nurse,Emergency Department,Per Diem,MA,Active,2026-07-31,2026-05-22,2026-11-20,61.99,Assignment Completed
EMP000094,CAN000298,REQ000578,220020,SAINT ANNE'S HOSPITAL,Sharon Anderson,kylemeyers@example.net,929.394.9387x4302,ICU Nurse,Intensive Care Unit,Per Diem,MA,Pending,2026-07-31,2026-06-28,2026-09-20,57.21,Active
EMP000095,CAN000300,REQ001546,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,Catherine Carroll,chale@example.org,(348)741-3768,Registered Nurse,General Nursing,Permanent Placement,MA,Active,2026-07-31,2025-10-31,2025-11-28,58.48,Active
EMP000096,CAN000309,REQ000644,220029,ANNA JAQUES HOSPITAL,Jill Wiley MD,dawn08@example.com,+1-840-735-5338x0339,Laboratory Technician,Laboratory,Travel Contract,MA,Pending,2026-07-31,2025-12-09,2026-03-03,33.36,Active
EMP000097,CAN000316,REQ001991,221300,MARTHA'S VINEYARD HOSPITAL INC,Tammy Booth,fieldskimberly@example.com,(343)364-0270,Respiratory Therapist,Respiratory Care,Per Diem,MA,Active,2026-07-31,2026-07-25,2026-10-17,54.79,Active
EMP000098,CAN000317,REQ001834,220024,HOLYOKE MEDICAL CENTER,Mary Quinn,gregorylopez@example.org,572.281.7932,Travel Nurse,Travel Nursing,Per Diem,MA,Active,2026-07-31,2026-03-08,2026-05-31,93.35,Active
EMP000099,CAN000319,REQ001297,221303,ATHOL MEMORIAL HOSPITAL,Derek Moses,davisalexa@example.org,(598)747-7596x5555,Allied Health Professional,Allied Health,Travel Contract,MA,Pending,2026-07-31,2026-08-02,2026-11-01,61.25,Active
EMP000100,CAN000323,REQ000299,220175,METROWEST MEDICAL CENTER,Erin Reyes,jeffrey47@example.net,328-771-5399,Physician,Medical Services,Permanent Placement,MA,Pending,2026-07-31,2026-08-13,2026-10-08,146.8,Assignment Completed
EMP000101,CAN000324,REQ001145,22001F,BEDFORD VA MEDICAL CENTER,Natalie Hardy,ostokes@example.com,741-411-5931,ICU Nurse,Intensive Care Unit,Local Contract,MA,Active,2026-07-31,2026-03-17,2026-06-16,56.17,Active
EMP000102,CAN000325,REQ001924,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,Laura Smith,lawrencejames@example.com,(455)628-9931x60875,ICU Nurse,Intensive Care Unit,Travel Contract,MA,Active,2026-07-31,2026-02-17,2026-05-19,75.51,Active
EMP000103,CAN000326,REQ000382,224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,Mr. Kyle Thomas DDS,georgekyle@example.net,749-473-7460,Allied Health Professional,Allied Health,Travel Contract,MA,Active,2026-07-31,2026-05-03,2026-05-31,46.04,Active
EMP000104,CAN000327,REQ001447,220012,CAPE COD HOSPITAL,Taylor Walker,leblanckimberly@example.com,001-364-620-8656x7566,Radiologic Technologist,Radiology,Permanent Placement,MA,Pending,2026-07-31,2026-08-14,2026-11-06,58.32,Active
EMP000105,CAN000335,REQ000916,221302,FAIRVIEW HOSPITAL,Marcus Jones,jorge26@example.com,746-428-3143,Respiratory Therapist,Respiratory Care,Travel Contract,MA,Active,2026-07-31,2025-12-17,2026-06-17,47.18,Active
EMP000106,CAN000336,REQ000249,220046,BERKSHIRE MEDICAL CENTER,Emily French,mjohnson@example.org,341-781-8615,Respiratory Therapist,Respiratory Care,Permanent Placement,MA,Active,2026-07-31,2026-05-15,2026-11-13,45.46,Assignment Completed
EMP000107,CAN000338,REQ000098,220019,UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL,Brett Williams,stacey62@example.com,001-488-896-7924x0822,Physical Therapist,Rehabilitation,Travel Contract,MA,Active,2026-07-31,2025-09-23,2025-11-18,44.82,Active
